,age,height,weight,rating,league,value,captain,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
age,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
height,,1.0,0.7057048885460995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weight,,0.7057048885460995,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rating,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
league,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
captain,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shots_total,,,,,,,,1.0,0.970086072003711,0.8682333279595336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shots_on,,,,,,,,0.970086072003711,1.0,0.9337076943185836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goals_total,,,,,,,,0.8682333279595336,0.9337076943185836,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goals_conceded,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.848378784619842,,,,,,
goals_assists,,,,,,,,,,,,1.0,,0.8619304448549505,,,,,,,,,,,,,,,,,,,,,,,,
passes_total,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
passes_key,,,,,,,,,,,,0.8619304448549505,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
passes_accuracy,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
tackles_total,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
tackles_blocks,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
tackles_interceptions,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
duels_total,,,,,,,,,,,,,,,,,,,1.0,0.9354413767612402,,,,,,,,,,,,,,,,,,
duels_won,,,,,,,,,,,,,,,,,,,0.9354413767612402,1.0,,,,,,,,,,,,,,,,,,
dribbles_attempts,,,,,,,,,,,,,,,,,,,,,1.0,0.9774491873253899,,,,,,,,,,,,,,,,
dribbles_success,,,,,,,,,,,,,,,,,,,,,0.9774491873253899,1.0,,,,,,,,,,,,,,,,
fouls_drawn,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
fouls_committed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cards_yellow,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
cards_yellowred,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
cards_red,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
penalty_won,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
penalty_commited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
penalty_success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
penalty_missed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
penalty_saved,,,,,,,,,,,0.848378784619842,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
games_appearences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.9846398218844304,0.7217775660322728,0.822456228400104,
games_lineups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
substitutes_in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9846398218844304,,1.0,,0.8406547520978437,
substitutes_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7217775660322728,,,1.0,,
substitutes_bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.822456228400104,,0.8406547520978437,,1.0,
games_played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
